	Undetermined	ATCCMSA1002Cntrl	ATCCMSA2002control	Neg	PCRNegcntrl	DNAExtrcNegControl
ASV1	10987	0	0	4	0	0
ASV2	4436	0	0	0	0	0
ASV3	4296	0	0	0	0	0
ASV4	4193	0	28	0	0	0
ASV5	2106	6480	31515	0	0	0
ASV6	1287	7485	5232	0	0	0
ASV7	538	3715	8696	0	0	0
ASV8	367	4148	8410	0	0	0
ASV9	306	0	0	0	0	0
ASV10	298	0	0	0	0	0
ASV11	541	4931	5885	0	0	0
ASV12	595	3739	5542	0	0	0
ASV13	540	4575	4530	0	0	0
ASV14	1019	7333	777	0	0	0
ASV15	512	1906	5987	0	0	0
ASV16	389	4291	1775	0	0	0
ASV17	278	2636	3213	0	0	0
ASV18	800	4186	874	0	0	0
ASV19	221	0	0	0	0	0
ASV20	467	3982	655	0	0	0
ASV21	238	0	0	0	0	0
ASV22	301	3125	911	0	0	0
ASV23	188	0	0	0	0	0
ASV24	230	1475	2356	0	0	0
ASV25	546	2856	485	0	0	0
ASV26	147	2512	408	0	0	0
ASV27	192	2002	823	0	0	0
ASV29	0	549	525	0	0	0
ASV30	0	790	160	0	0	0
ASV31	0	768	148	0	0	0
ASV32	0	490	0	0	0	0
ASV33	217	0	0	0	16	0
ASV34	80	16	9	0	7	8
ASV35	0	9	17	12	0	5
ASV36	15	0	0	0	0	0
ASV37	14	0	0	0	0	0
ASV38	10	0	0	0	0	0
ASV41	8	0	0	0	0	0
ASV42	7	0	0	0	0	0
ASV43	0	6	0	0	0	0
ASV44	0	0	5	0	0	0
ASV45	0	0	0	0	0	4
ASV46	0	0	0	4	0	0
ASV47	0	0	0	0	4	0
ASV49	2	0	0	0	0	0
ASV50	2	0	0	0	0	0
ASV51	2	0	0	0	0	0
