	K338F	K338M	K352F	K352M1	K352M2	K352M3
ASV1	19966	27234	25895	28614	31628	40520
ASV2	18333	25612	14712	15627	23231	28153
ASV3	6513	18701	17831	16047	17839	15542
ASV4	11086	7624	11243	14679	11191	14161
ASV5	0	248	0	0	0	0
ASV6	0	253	0	0	0	0
ASV7	0	33	0	0	0	0
ASV8	0	12	0	0	0	0
ASV9	1090	1598	2170	2397	2107	3018
ASV10	1748	1612	1794	1826	1647	2631
ASV12	0	73	0	0	0	0
ASV13	0	71	0	0	0	0
ASV14	0	213	0	0	0	0
ASV15	63	55	27	32	12	17
ASV16	0	44	0	0	0	0
ASV19	591	469	831	1713	618	1193
ASV20	0	64	0	0	0	0
ASV21	3885	244	183	24	131	238
ASV23	670	708	516	686	637	703
ASV28	170	109	238	461	136	297
ASV34	20	14	0	11	11	15
ASV35	10	18	0	0	17	11
